DÍA;MES;AÑO;MUESTREO;TRATAMIENTO;TOTAL NINFAS;NINFAS PARASITADAS DÍA 6;% NO PARASITISMO
23;12;2019;MPost1;1SC;1;0;100
23;12;2019;MPost1;1C;1;0;100
23;12;2019;MPost1;1SC;3;0;100
23;12;2019;MPost1;1C;2;0;100
23;12;2019;MPost1;1SC;0;0;100
23;12;2019;MPost1;1SC;2;0;100
23;12;2019;MPost1;1SC;0;0;100
23;12;2019;MPost1;1SC;0;0;100
23;12;2019;MPost1;1SC;0;0;100
23;12;2019;MPost1;1C;5;0;100
23;12;2019;MPost1;1C;0;0;100
23;12;2019;MPost1;1C;1;0;100
23;12;2019;MPost1;1SC;3;0;100
23;12;2019;MPost1;1C;0;0;100
23;12;2019;MPost1;1SC;0;0;100
23;12;2019;MPost1;1SC;0;0;100
23;12;2019;MPost1;1SC;0;0;100
23;12;2019;MPost1;1C;1;0;100
23;12;2019;MPost1;1SC;0;0;100
23;12;2019;MPost1;1SC;0;0;100
23;12;2019;MPost1;1C;0;0;100
23;12;2019;MPost1;1SC;0;0;100
23;12;2019;MPost1;1SC;1;0;100
23;12;2019;MPost1;1SC;1;0;100
23;12;2019;MPost1;1C;4;0;100
23;12;2019;MPost1;1C;0;0;100
23;12;2019;MPost1;1C;2;0;100
23;12;2019;MPost1;1C;1;0;100
23;12;2019;MPost1;1C;1;0;100
23;12;2019;MPost1;1SC;1;0;100
23;12;2019;MPost1;1SC;0;0;100
23;12;2019;MPost1;1SC;0;0;100
23;12;2019;MPost1;1SC;0;0;100
23;12;2019;MPost1;1SC;0;0;100
23;12;2019;MPost1;1SC;4;0;100
23;12;2019;MPost1;1C;0;0;100
23;12;2019;MPost1;1SC;3;3;0
23;12;2019;MPost1;1SC;5;0;100
23;12;2019;MPost1;1C;1;1;0
23;12;2019;MPost1;1C;0;0;100
23;12;2019;MPost1;1SC;0;0;100
23;12;2019;MPost1;1SC;0;0;100
23;12;2019;MPost1;1SC;1;0;100
23;12;2019;MPost1;1SC;7;1;85,71428571
23;12;2019;MPost1;1SC;8;0;100
20;2;2020;MPost2;1C;0;0;100
20;2;2020;MPost2;1C;1;0;100
20;2;2020;MPost2;1C;0;0;100
20;2;2020;MPost2;1C;3;0;100
20;2;2020;MPost2;1C;0;0;100
20;2;2020;MPost2;1C;19;0;100
20;2;2020;MPost2;1C;2;0;100
20;2;2020;MPost2;1C;3;0;100
20;2;2020;MPost2;1C;1;0;100
20;2;2020;MPost2;1C;0;0;100
20;2;2020;MPost2;1C;0;0;100
20;2;2020;MPost2;1C;0;0;100
20;2;2020;MPost2;1C;2;0;100
20;2;2020;MPost2;1C;2;0;100
20;2;2020;MPost2;1SC;0;0;100
20;2;2020;MPost2;1SC;0;0;100
20;2;2020;MPost2;1SC;0;0;100
20;2;2020;MPost2;1SC;3;0;100
20;2;2020;MPost2;1SC;0;0;100
20;2;2020;MPost2;2C;9;0;100
20;2;2020;MPost2;2C;9;0;100
20;2;2020;MPost2;2C;0;0;100
20;2;2020;MPost2;1SC;2;1;50
20;2;2020;MPost2;2SC;0;0;100
20;2;2020;MPost2;1SC;0;0;100
20;2;2020;MPost2;1C;1;0;100
20;2;2020;MPost2;3SC;0;0;100
20;2;2020;MPost2;2SC;3;0;100
20;2;2020;MPost2;1SC;1;0;100
20;2;2020;MPost2;1SC;0;0;100
20;2;2020;MPost2;3SC;0;1;100
20;2;2020;MPost2;3C;3;0;100
20;2;2020;MPost2;3C;32;0;100
20;2;2020;MPost2;3C;13;0;100
20;2;2020;MPost2;2SC;0;0;100
20;2;2020;MPost2;2SC;0;0;100
20;2;2020;MPost2;2SC;2;0;100
20;2;2020;MPost2;2SC;7;0;100
20;2;2020;MPost2;2SC;0;0;100
20;2;2020;MPost2;2SC;0;0;100
20;2;2020;MPost2;2SC;0;0;100
20;2;2020;MPost2;2SC;1;1;0
20;2;2020;MPost2;3C;27;1;96,2962963
20;2;2020;MPost2;1C;0;0;100
20;2;2020;MPost2;1SC;0;0;100
20;2;2020;MPost2;3SC;2;0;100
20;2;2020;MPost2;1C;3;0;100
20;2;2020;MPost2;1C;1;0;100
20;2;2020;MPost2;1SC;13;0;100
20;2;2020;MPost2;2SC;2;0;100
20;2;2020;MPost2;1SC;0;0;100
20;2;2020;MPost2;1SC;0;0;100
20;2;2020;MPost2;1SC;0;0;100
20;2;2020;MPost2;1SC;0;0;100
20;2;2020;MPost2;1SC;0;0;100
20;2;2020;MPost2;2SC;0;0;100
20;2;2020;MPost2;2SC;0;0;100
20;2;2020;MPost2;1SC;1;0;100
20;2;2020;MPost2;2C;13;0;100
20;2;2020;MPost2;1SC;4;0;100
20;2;2020;MPost2;1C;0;0;100
20;2;2020;MPost2;2SC;0;0;100
20;2;2020;MPost2;1SC;0;0;100
20;2;2020;MPost2;3SC;1;0;100
20;2;2020;MPost2;3SC;24;1;95,83333333
20;2;2020;MPost2;3SC;0;0;100
20;2;2020;MPost2;3SC;30;0;100
20;2;2020;MPost2;2SC;0;0;100
20;2;2020;MPost2;1SC;0;0;100
20;2;2020;MPost2;1SC;3;0;100
20;2;2020;MPost2;1SC;2;0;100
20;2;2020;MPost2;1SC;0;0;100
20;2;2020;MPost2;1SC;1;0;100
20;2;2020;MPost2;1SC;0;0;100
20;2;2020;MPost2;1SC;0;0;100
20;2;2020;MPost2;1SC;1;0;100
20;2;2020;MPost2;1SC;0;0;100
20;2;2020;MPost2;1SC;18;0;100
20;2;2020;MPost2;2C;0;0;100
20;2;2020;MPost2;2C;5;0;100
20;2;2020;MPost2;2C;0;0;100
20;2;2020;MPost2;1SC;;;
20;2;2020;MPost2;2C;;;
20;2;2020;MPost2;3C;;;
11;3;2020;MPost3;2C;1;1;0
11;3;2020;MPost3;1C;0;0;100
11;3;2020;MPost3;3SC;3;0;100
11;3;2020;MPost3;1C;0;0;100
11;3;2020;MPost3;1C;1;0;100
11;3;2020;MPost3;1SC;0;0;100
11;3;2020;MPost3;1C;0;0;100
11;3;2020;MPost3;1SC;0;0;100
11;3;2020;MPost3;1C;0;0;100
11;3;2020;MPost3;2C;27;0;100
11;3;2020;MPost3;2SC;5;0;100
11;3;2020;MPost3;1SC;3;0;100
11;3;2020;MPost3;1SC;1;0;100
11;3;2020;MPost3;1SC;0;0;100
